id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9785764-B2,Digital identity ,Yoti Ltd,"Eleanor Simone Frederika LOUGHLIN-MCHUGH, Roman Edward SZCZESNIAK",2015-02-13,2015-02-13,2017-10-10,2017-10-10,https://patents.google.com/patent/US9785764B2/en,https://patentimages.storage.googleapis.com/08/ef/d9/ca332321fa2d57/US09785764-20171010-D00000.png
JP-5264775-B2,Provisioning digital identity representation ,マイクロソフト  コーポレーション,"ケー．ガジャラ ビジャイ, エイチ．ブレース コリン, ティー．デル  コンテ デレク, キャメロン キム, ケー．ナンダ アルン, オー．ウィルソン ハーベイ, エル．エス．クワン スチュアート, ラジ ラシュミ, ノリ ビジャヤバニ",2007-01-18,2008-01-04,2013-08-14,2013-08-14,https://patents.google.com/patent/JP5264775B2/en,https://patentimages.storage.googleapis.com/ab/4a/4e/ce3f6d7a23d5ea/0005264775-2.png
US-2019123913-A9,Digital Identity Management ,"Microsoft Technology Licensing, Llc","David B. Cross, Philip J. Hallin, Thomas C. Jones, Matthew W. Thomlinson",2003-02-13,2016-09-23,2019-04-25,,https://patents.google.com/patent/US20190123913A9/en,https://patentimages.storage.googleapis.com/ff/8f/56/92e5a1c3a8912c/US20190123913A9-20190425-D00000.png
US-2018176017-A1,Digital Identity System ,Yoti Ltd,"Francisco Angel Garcia RODRIGUEZ, Piers Powlesland, Paolo Greci, Laurence Withers, Eleanor Simone Frederika LOUGHLIN-MCHUGH, Roman Edward SZCZESNIAK",2015-02-13,2016-02-12,2018-06-21,,https://patents.google.com/patent/US20180176017A1/en,https://patentimages.storage.googleapis.com/4e/47/7b/6f849e8fdd6b07/US20180176017A1-20180621-D00000.png
US-8892697-B2,System and digital token for personal identity verification ,Dhana Systems Corp.,Prashant Nema,2012-07-24,2012-07-24,2014-11-18,2014-11-18,https://patents.google.com/patent/US8892697B2/en,https://patentimages.storage.googleapis.com/eb/a5/0c/c13c5c48ad3402/US08892697-20141118-D00000.png
EP-3458982-B1,Systems and methods for digital identity management and permission controls within distributed network nodes ,Northern Trust Corporation,"Andrew Czupek, Andrew Monks, Anthony Stevens, Arijit Das, Christopher Price, Justin Chapman, Wayne Hannaway, Zabrina Smith",2017-02-06,2017-12-19,2020-06-17,2020-06-17,https://patents.google.com/patent/EP3458982B1/en,https://patentimages.storage.googleapis.com/14/74/2f/e5b35e1c54ec61/imgf0001.png
US-10453159-B2,Digital identity ,"Consumerinfo.Com, Inc.",Mark Joseph Kapczynski,2013-05-23,2017-07-28,2019-10-22,2019-10-22,https://patents.google.com/patent/US10453159B2/en,https://patentimages.storage.googleapis.com/d9/41/be/efd550c0fc588d/US10453159-20191022-D00000.png
US-7870219-B2,System method and apparatus for portable digital identity ,"Tvworks, Llc","Jonathan I McCormack, Venkatachary Srinivasan, Hari Vasudev, Raymond Drewry",2001-10-12,2009-03-09,2011-01-11,2011-01-11,https://patents.google.com/patent/US7870219B2/en,https://patentimages.storage.googleapis.com/8c/e6/cc/081789c1dce91b/US07870219-20110111-D00000.png
US-9215592-B2,Configurable personal digital identity device responsive to user interaction ,"Tyfone, Inc.","Siva G. Narendra, Prabhakar Tadepalli, Saurav Chakraborty",2013-03-15,2013-03-15,2015-12-15,2015-12-15,https://patents.google.com/patent/US9215592B2/en,https://patentimages.storage.googleapis.com/a4/97/65/d04eefe932c463/US09215592-20151215-D00000.png
US-8904040-B2,Digital identity validation ,"Go Daddy Operating Company, LLC","Warren Adelman, Michael Chadwick",2004-10-29,2007-05-09,2014-12-02,2014-12-02,https://patents.google.com/patent/US8904040B2/en,https://patentimages.storage.googleapis.com/6a/72/06/3b6da207d220fb/US08904040-20141202-D00000.png
TW-I432000-B,Provisioning of digital identity representations ,Microsoft Corp,"Vijay K Gajjala, Colin H Brace, Conte Derek T Del, Arun K Nanda, Stuart L S Kwan, Rashmi Raj, Vijayavani Nori",2007-01-18,2008-01-10,2014-03-21,2014-03-21,https://patents.google.com/patent/TWI432000B/en,
US-9183371-B2,Personal digital identity device with microphone ,"Tyfone, Inc.","Siva G. Narendra, Prabhakar Tadepalli, Saurav Chakraborty",2013-03-15,2013-03-15,2015-11-10,2015-11-10,https://patents.google.com/patent/US9183371B2/en,https://patentimages.storage.googleapis.com/22/28/76/b694f7418ed7b5/US09183371-20151110-D00000.png
US-7797413-B2,Digital identity registration ,"The Go Daddy Group, Inc.","Warren Adelman, Michael Chadwick",2004-10-29,2007-05-09,2010-09-14,2010-09-14,https://patents.google.com/patent/US7797413B2/en,https://patentimages.storage.googleapis.com/3c/f2/20/52452ffefd3f6e/US07797413-20100914-D00000.png
