search URL:,https://patents.google.com/?q=%22digital+identity%22&before=priority:20191231&after=priority:20150101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10992478-B2,Blockchain-based digital identity management method ,"Samsung Sds Co., Ltd.","Nyun Soo HYUN, Heung Sik CHAE, Sang Hyeon Kim, Kyung Jin Kim, Mun Seok YANG, Yeong Min SEO",2017-04-05,2018-03-06,2021-04-27,2021-04-27,https://patents.google.com/patent/US10992478B2/en,https://patentimages.storage.googleapis.com/c5/a3/21/44edf65a22173e/US10992478-20210427-D00000.png
US-11727226-B2,Digital identity system ,Yoti Holding Limited,"Francisco Angel Garcia RODRIGUEZ, Piers Powlesland, Paolo Greci, Laurence Withers, Eleanor Simone Frederika LOUGHLIN-MCHUGH, Roman Edward SZCZESNIAK",2015-02-13,2021-06-18,2023-08-15,2023-08-15,https://patents.google.com/patent/US11727226B2/en,https://patentimages.storage.googleapis.com/70/bb/55/d6be6529271bbf/US11727226-20230815-D00000.png
US-9858408-B2,Digital identity system ,Yoti Holding Limited,"Eleanor Simone Frederika LOUGHLIN-MCHUGH, Roman Edward SZCZESNIAK",2015-02-13,2015-02-13,2018-01-02,2018-01-02,https://patents.google.com/patent/US9858408B2/en,https://patentimages.storage.googleapis.com/78/59/62/0a2513741b66a8/US09858408-20180102-D00000.png
CN-109862041-B,"Digital identity authentication method, equipment, device, system and storage medium ",深圳市网心科技有限公司,张骁,2019-03-27,2019-03-27,2021-06-15,2021-06-15,https://patents.google.com/patent/CN109862041B/en,https://patentimages.storage.googleapis.com/03/39/a9/d78af8328b3ac1/HDA0002009155680000011.png
CN-109714174-B,Internet of things equipment digital identity management system and method based on block chain ,中国科学院合肥物质科学研究院,"李芳�, 赵赫, 李晓风, 谭海波",2019-02-18,2019-02-18,2021-08-17,2021-08-17,https://patents.google.com/patent/CN109714174B/en,https://patentimages.storage.googleapis.com/7e/b3/bc/df7345a1002e48/HDA0001972792890000011.png
US-2017255769-A1,Digital identity ,Yoti Ltd,"Eleanor Simone Frederika LOUGHLIN-MCHUGH, Roman Edward SZCZESNIAK",2015-02-13,2017-05-23,2017-09-07,,https://patents.google.com/patent/US20170255769A1/en,https://patentimages.storage.googleapis.com/4c/c2/c6/422e912ed8e9f2/US20170255769A1-20170907-D00000.png
AU-2018246993-B2,Systems and methods for providing digital identity records to verify identities of users ,Mastercard International Incorporated,Ashfaq Kamal,2017-03-31,2018-02-27,2023-05-11,2023-05-11,https://patents.google.com/patent/AU2018246993B2/en,
US-2018316665-A1,Systems and Methods to Authenticate Users and/or Control Access Made by Users based on Enhanced Digital Identity Verification ,"Idm Global, Inc.","Jose Caldera, Kieran Gerard Sherlock",2017-04-27,2018-04-26,2018-11-01,,https://patents.google.com/patent/US20180316665A1/en,https://patentimages.storage.googleapis.com/cc/be/fb/475b636a9d4451/US20180316665A1-20181101-D00000.png
CN-109951489-B,"Digital identity authentication method, equipment, device, system and storage medium ",深圳市网心科技有限公司,张骁,2019-03-27,2019-03-27,2020-11-03,2020-11-03,https://patents.google.com/patent/CN109951489B/en,https://patentimages.storage.googleapis.com/66/09/f4/e5497db6e1186c/HDA0002008928520000011.png
AU-2022206815-A1,Universal digital identity authentication service ,"Equifax, Inc., Fidelity Information Services, Llc","Ravindra BIJLANI, Helcio CANO, Rob Harris, Richard Huffman, Gaurav R. Khanna, Richard Michaelson, Esther Pigg, Marty ROMAIN, Shriram SALEM, Vivian VAN ZYL",2017-02-17,2022-07-22,2022-08-18,,https://patents.google.com/patent/AU2022206815A1/en,
CN-107888382-B,"A kind of methods, devices and systems of the digital identity verifying based on block chain ",中钞信用卡产业发展有限公司杭州区块链技术研究院,"张波波, 张一锋",2017-11-24,2017-11-24,2019-11-19,2019-11-19,https://patents.google.com/patent/CN107888382B/en,
EP-3968194-A1,Digital identity ,Yoti Holding Limited,"Eleanor Simone Frederika LOUGHLIN-MCHUGH, Romek Edward SZCZESNIAK",2015-02-13,2016-02-12,2022-03-16,,https://patents.google.com/patent/EP3968194A1/en,https://patentimages.storage.googleapis.com/a2/54/8e/082c5f559581dc/imgf0001.png
US-10637665-B1,Blockchain-based digital identity management (DIM) system ,"Workday, Inc.",Prakash Sundaresan,2016-07-29,2017-07-28,2020-04-28,2020-04-28,https://patents.google.com/patent/US10637665B1/en,https://patentimages.storage.googleapis.com/d9/80/ca/b84bdb4f4dc328/US10637665-20200428-D00000.png
EP-3458982-B1,Systems and methods for digital identity management and permission controls within distributed network nodes ,Northern Trust Corporation,"Andrew Czupek, Andrew Monks, Anthony Stevens, Arijit Das, Christopher Price, Justin Chapman, Wayne Hannaway, Zabrina Smith",2017-02-06,2017-12-19,2020-06-17,2020-06-17,https://patents.google.com/patent/EP3458982B1/en,https://patentimages.storage.googleapis.com/14/74/2f/e5b35e1c54ec61/imgf0001.png
CN-108234515-B,Self-authentication digital identity management system and method based on intelligent contract ,中国科学院合肥物质科学研究院,"赵赫, 周桐, 李芳�, 李晓风, 谭海波, 张中贤, 王卫东, 吕波",2018-01-25,2018-01-25,2020-07-24,2020-07-24,https://patents.google.com/patent/CN108234515B/en,https://patentimages.storage.googleapis.com/3b/f6/6a/b110152121ecc4/HDA0001558981700000011.png
CN-108270780-B,Multi-center digital identity management method in heterogeneous network environment ,中国电子科技集团公司第三十研究所,"郝尧, 白健, 刘尚麟, 王迪, 刘地军",2018-01-08,2018-01-08,2020-12-29,2020-12-29,https://patents.google.com/patent/CN108270780B/en,https://patentimages.storage.googleapis.com/38/d0/48/57d3bb84ed23c8/HDA0002558158550000011.png
CN-106411901-B,A kind of digital identity mark management method and system ,北京三未信安科技发展有限公司,"范希骏, 杨国强, 韩学洋, 张玉涛",2016-10-08,2016-10-08,2018-01-23,2018-01-23,https://patents.google.com/patent/CN106411901B/en,
US-10970717-B2,Distributed ledger for encrypted digital identity ,Dish Network L.L.C.,Anand Menon,2018-10-12,2018-10-12,2021-04-06,2021-04-06,https://patents.google.com/patent/US10970717B2/en,https://patentimages.storage.googleapis.com/87/01/8a/d9fef01a923181/US10970717-20210406-D00000.png
CN-109936569-B,Decentralized digital identity login management system based on Ether house block chain ,领信智链(北京)科技有限公司,"李骁宇, 姚泽乾",2019-02-21,2019-02-21,2021-05-28,2021-05-28,https://patents.google.com/patent/CN109936569B/en,https://patentimages.storage.googleapis.com/ac/2d/ae/272dd5332fb9a9/HDA0001975074400000011.png
US-2019273607-A1,System for digital identity authentication and methods of use ,"Alexander J.M. VAN DER VELDEN, Onoriode Malcolm ERUTEYA","Alexander J.M. VAN DER VELDEN, Onoriode Malcolm ERUTEYA",2017-11-15,2019-01-29,2019-09-05,,https://patents.google.com/patent/US20190273607A1/en,https://patentimages.storage.googleapis.com/11/e8/34/b9fe641715d66d/US20190273607A1-20190905-D00000.png
US-10594484-B2,Digital identity system ,Yoti Holding Limited,"Francisco Angel Garcia RODRIGUEZ, Piers Powlesland, Paolo Greci, Laurence Withers, Eleanor Simone Frederika LOUGHLIN-MCHUGH, Roman Edward SZCZESNIAK",2015-02-13,2016-02-12,2020-03-17,2020-03-17,https://patents.google.com/patent/US10594484B2/en,https://patentimages.storage.googleapis.com/47/03/79/4f702cfc2e389b/US10594484-20200317-D00000.png
US-11025419-B2,System for digital identity authentication and methods of use ,Alexander J. M. Van Der Velden,Alexander J. M. Van Der Velden,2017-11-15,2018-08-17,2021-06-01,2021-06-01,https://patents.google.com/patent/US11025419B2/en,https://patentimages.storage.googleapis.com/a9/4f/bb/0ea8c866343e9a/US11025419-20210601-D00000.png
US-2019121813-A1,System and Method of Sovereign Digital Identity Search and Bidirectional Matching ,Social Patent LLC,"Timothy S. Galebach, Jared Bowie, Michael Chin, Stephen H. Galebach",2017-10-20,2018-10-19,2019-04-25,,https://patents.google.com/patent/US20190121813A1/en,https://patentimages.storage.googleapis.com/65/9b/44/2230708ee2b78e/US20190121813A1-20190425-D00000.png
CN-109981675-B,Identity information protection method for digital identity authentication and attribute encryption ,西安电子科技大学,"翁启, 王子龙",2019-04-04,2019-04-04,2021-10-26,2021-10-26,https://patents.google.com/patent/CN109981675B/en,https://patentimages.storage.googleapis.com/c4/d5/16/72b72e39e71ffd/HDA0002018976880000011.png
US-2018034646-A1,Method and apparatus for seamless remote renewal of offline generated digital identity certificates to field deployed hardware security modules ,Arris Enterprises Llc,"Annie C. Kuramoto, Ting Yao, Jason A. Pasion, Jinsong Zheng, Fan Wang, Oscar Jiang, Xin Qiu",2016-07-27,2017-07-27,2018-02-01,,https://patents.google.com/patent/US20180034646A1/en,https://patentimages.storage.googleapis.com/db/31/e4/9ddca420cc9f04/US20180034646A1-20180201-D00000.png
