search URL:,https://patents.google.com/?q=%22digital+identity%22&before=priority:20231231&after=priority:19000101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2018176017-A1,Digital Identity System ,Yoti Ltd,"Francisco Angel Garcia RODRIGUEZ, Piers Powlesland, Paolo Greci, Laurence Withers, Eleanor Simone Frederika LOUGHLIN-MCHUGH, Roman Edward SZCZESNIAK",2015-02-13,2016-02-12,2018-06-21,,https://patents.google.com/patent/US20180176017A1/en,https://patentimages.storage.googleapis.com/4e/47/7b/6f849e8fdd6b07/US20180176017A1-20180621-D00000.png
WO-2020191928-A1,"Digital identity authentication method, device, apparatus and system, and storage medium ",深圳市网心科技有限公司,张骁,2019-03-27,2019-06-19,2020-10-01,,https://patents.google.com/patent/WO2020191928A1/en,https://patentimages.storage.googleapis.com/6c/0f/3c/a036336daae8e1/PCTCN2019091806-appb-300001.png
US-9785764-B2,Digital identity ,Yoti Ltd,"Eleanor Simone Frederika LOUGHLIN-MCHUGH, Roman Edward SZCZESNIAK",2015-02-13,2015-02-13,2017-10-10,2017-10-10,https://patents.google.com/patent/US9785764B2/en,https://patentimages.storage.googleapis.com/08/ef/d9/ca332321fa2d57/US09785764-20171010-D00000.png
US-9858408-B2,Digital identity system ,Yoti Holding Limited,"Eleanor Simone Frederika LOUGHLIN-MCHUGH, Roman Edward SZCZESNIAK",2015-02-13,2015-02-13,2018-01-02,2018-01-02,https://patents.google.com/patent/US9858408B2/en,https://patentimages.storage.googleapis.com/78/59/62/0a2513741b66a8/US09858408-20180102-D00000.png
EP-3968194-A1,Digital identity ,Yoti Holding Limited,"Eleanor Simone Frederika LOUGHLIN-MCHUGH, Romek Edward SZCZESNIAK",2015-02-13,2016-02-12,2022-03-16,,https://patents.google.com/patent/EP3968194A1/en,https://patentimages.storage.googleapis.com/a2/54/8e/082c5f559581dc/imgf0001.png
US-11095643-B2,Universal digital identity authentication service ,"Fidelity Information Services, Llc, Equifax, Inc.","Richard Huffman, Richard Michaelson, Ravindra BIJLANI, Shriram Salem, Rob HARRIS, Vivian VAN ZYL, Helcio CANO, Gaurav R. Khanna, Esther Pigg, Marty ROMAIN",2017-02-17,2018-02-16,2021-08-17,2021-08-17,https://patents.google.com/patent/US11095643B2/en,https://patentimages.storage.googleapis.com/2d/20/2e/1751f28a0c0226/US11095643-20210817-D00000.png
US-9183371-B2,Personal digital identity device with microphone ,"Tyfone, Inc.","Siva G. Narendra, Prabhakar Tadepalli, Saurav Chakraborty",2013-03-15,2013-03-15,2015-11-10,2015-11-10,https://patents.google.com/patent/US9183371B2/en,https://patentimages.storage.googleapis.com/22/28/76/b694f7418ed7b5/US09183371-20151110-D00000.png
CN-109862041-B,"Digital identity authentication method, equipment, device, system and storage medium ",深圳市网心科技有限公司,张骁,2019-03-27,2019-03-27,2021-06-15,2021-06-15,https://patents.google.com/patent/CN109862041B/en,https://patentimages.storage.googleapis.com/03/39/a9/d78af8328b3ac1/HDA0002009155680000011.png
CN-108234515-B,Self-authentication digital identity management system and method based on intelligent contract ,中国科学院合肥物质科学研究院,"赵赫, 周桐, 李芳�, 李晓风, 谭海波, 张中贤, 王卫东, 吕波",2018-01-25,2018-01-25,2020-07-24,2020-07-24,https://patents.google.com/patent/CN108234515B/en,https://patentimages.storage.googleapis.com/3b/f6/6a/b110152121ecc4/HDA0001558981700000011.png
US-2018316665-A1,Systems and Methods to Authenticate Users and/or Control Access Made by Users based on Enhanced Digital Identity Verification ,"Idm Global, Inc.","Jose Caldera, Kieran Gerard Sherlock",2017-04-27,2018-04-26,2018-11-01,,https://patents.google.com/patent/US20180316665A1/en,https://patentimages.storage.googleapis.com/cc/be/fb/475b636a9d4451/US20180316665A1-20181101-D00000.png
US-8892697-B2,System and digital token for personal identity verification ,Dhana Systems Corp.,Prashant Nema,2012-07-24,2012-07-24,2014-11-18,2014-11-18,https://patents.google.com/patent/US8892697B2/en,https://patentimages.storage.googleapis.com/eb/a5/0c/c13c5c48ad3402/US08892697-20141118-D00000.png
US-2018046856-A1,Digital identity ,"Consumerinfo.Com, Inc.",Mark Joseph Kapczynski,2013-05-23,2017-07-28,2018-02-15,,https://patents.google.com/patent/US20180046856A1/en,https://patentimages.storage.googleapis.com/0d/12/c9/c48c292a5a1497/US20180046856A1-20180215-D00000.png
US-9215592-B2,Configurable personal digital identity device responsive to user interaction ,"Tyfone, Inc.","Siva G. Narendra, Prabhakar Tadepalli, Saurav Chakraborty",2013-03-15,2013-03-15,2015-12-15,2015-12-15,https://patents.google.com/patent/US9215592B2/en,https://patentimages.storage.googleapis.com/a4/97/65/d04eefe932c463/US09215592-20151215-D00000.png
US-10476862-B2,Systems and methods for providing digital identity records to verify identities of users ,Mastercard International Incorporated,Ashfaq Kamal,2017-03-31,2017-03-31,2019-11-12,2019-11-12,https://patents.google.com/patent/US10476862B2/en,https://patentimages.storage.googleapis.com/86/d1/0f/a01b208c88f02c/US10476862-20191112-D00000.png
US-10970717-B2,Distributed ledger for encrypted digital identity ,Dish Network L.L.C.,Anand Menon,2018-10-12,2018-10-12,2021-04-06,2021-04-06,https://patents.google.com/patent/US10970717B2/en,https://patentimages.storage.googleapis.com/87/01/8a/d9fef01a923181/US10970717-20210406-D00000.png
US-10721071-B2,Wearable personal digital identity card for fingerprint bound access to a cloud service ,"Tyfone, Inc.","Siva G. Narendra, Prabhakar Tadepalli, Saurav Chakraborty, Donald Allen Bloodworth",2013-03-15,2019-11-06,2020-07-21,2020-07-21,https://patents.google.com/patent/US10721071B2/en,https://patentimages.storage.googleapis.com/72/d9/82/3342078cc36973/US10721071-20200721-D00000.png
CN-107888382-B,"A kind of methods, devices and systems of the digital identity verifying based on block chain ",中钞信用卡产业发展有限公司杭州区块链技术研究院,"张波波, 张一锋",2017-11-24,2017-11-24,2019-11-19,2019-11-19,https://patents.google.com/patent/CN107888382B/en,
CN-109936569-B,Decentralized digital identity login management system based on Ether house block chain ,领信智链(北京)科技有限公司,"李骁宇, 姚泽乾",2019-02-21,2019-02-21,2021-05-28,2021-05-28,https://patents.google.com/patent/CN109936569B/en,https://patentimages.storage.googleapis.com/ac/2d/ae/272dd5332fb9a9/HDA0001975074400000011.png
US-10887098-B2,System for digital identity authentication and methods of use ,"Alexander J. M. Van Der Velden, Onoriode Malcolm ERUTEYA","Alexander J. M. Van Der Velden, Onoriode Malcolm ERUTEYA",2017-11-15,2019-01-29,2021-01-05,2021-01-05,https://patents.google.com/patent/US10887098B2/en,https://patentimages.storage.googleapis.com/cf/9c/ee/c7d591e7313e90/US10887098-20210105-D00000.png
CN-106411901-B,A kind of digital identity mark management method and system ,北京三未信安科技发展有限公司,"范希骏, 杨国强, 韩学洋, 张玉涛",2016-10-08,2016-10-08,2018-01-23,2018-01-23,https://patents.google.com/patent/CN106411901B/en,
CN-108270780-B,Multi-center digital identity management method in heterogeneous network environment ,中国电子科技集团公司第三十研究所,"郝尧, 白健, 刘尚麟, 王迪, 刘地军",2018-01-08,2018-01-08,2020-12-29,2020-12-29,https://patents.google.com/patent/CN108270780B/en,https://patentimages.storage.googleapis.com/38/d0/48/57d3bb84ed23c8/HDA0002558158550000011.png
US-9992022-B1,Systems and methods for digital identity management and permission controls within distributed network nodes ,Northern Trust Corporation,"Justin Chapman, Andrew Czupek, Andrew Monks, Anthony Stevens, Ariji Das, Christopher Price, Wayne Hannaway, Zabrina Smith",2017-02-06,2017-12-18,2018-06-05,2018-06-05,https://patents.google.com/patent/US9992022B1/en,https://patentimages.storage.googleapis.com/33/cb/6a/c9f5bae2848a66/US09992022-20180605-D00000.png
US-2019097812-A1,Architecture and Methods for Self-Sovereign Digital identity ,Kalman Csaba Toth,Kalman Csaba Toth,2013-10-01,2018-11-12,2019-03-28,,https://patents.google.com/patent/US20190097812A1/en,https://patentimages.storage.googleapis.com/d1/02/e1/4c6f45bccf4c53/US20190097812A1-20190328-D00000.png
US-2018294966-A1,Blockchain-based digital identity management method ,"Samsung Sds Co., Ltd.","Nyun Soo HYUN, Heung Sik CHAE, Sang Hyeon Kim, Kyung Jin Kim, Mun Seok YANG, Yeong Min SEO",2017-04-05,2018-03-06,2018-10-11,,https://patents.google.com/patent/US20180294966A1/en,https://patentimages.storage.googleapis.com/f4/b7/7a/d8bf0e04a3117b/US20180294966A1-20181011-D00000.png
US-8392420-B2,Managing access to digital identity information ,Emc Corporation,"Joseph Andrew Mellmer, Russell T. Young, Arn D. Perkins, John M. Robertson, Jeffrey Neil Sabin, Michael C. McDonald, Douglas Phillips, Robert Michael Sheridan, Nadeem Ahmad Nazeer, DeeAnne Barker Higley, Stephen R. Carter, Douglas G. Earl, Kelly E. Sonderegger, Daniel T. Ferguson, Farrell Lynn Brough",1999-11-12,2011-04-29,2013-03-05,2013-03-05,https://patents.google.com/patent/US8392420B2/en,https://patentimages.storage.googleapis.com/49/80/d1/b7c7fa44a311db/US08392420-20130305-D00000.png
US-2019123913-A9,Digital Identity Management ,"Microsoft Technology Licensing, Llc","David B. Cross, Philip J. Hallin, Thomas C. Jones, Matthew W. Thomlinson",2003-02-13,2016-09-23,2019-04-25,,https://patents.google.com/patent/US20190123913A9/en,https://patentimages.storage.googleapis.com/ff/8f/56/92e5a1c3a8912c/US20190123913A9-20190425-D00000.png
US-2021286868-A1,Method For Providing An Authenticated Digital Identity ,James F. Kragh,James F. Kragh,2009-06-03,2021-05-27,2021-09-16,,https://patents.google.com/patent/US20210286868A1/en,https://patentimages.storage.googleapis.com/d0/65/ec/e39ed67babeae4/US20210286868A1-20210916-D00000.png
CN-109714174-B,Internet of things equipment digital identity management system and method based on block chain ,中国科学院合肥物质科学研究院,"李芳�, 赵赫, 李晓风, 谭海波",2019-02-18,2019-02-18,2021-08-17,2021-08-17,https://patents.google.com/patent/CN109714174B/en,https://patentimages.storage.googleapis.com/7e/b3/bc/df7345a1002e48/HDA0001972792890000011.png
US-11044087-B2,System for digital identity authentication and methods of use ,Alexander J. M. Van Der Velden,Alexander J. M. Van Der Velden,2017-11-15,2018-11-14,2021-06-22,2021-06-22,https://patents.google.com/patent/US11044087B2/en,https://patentimages.storage.googleapis.com/d8/53/5d/2daccabebc30a7/US11044087-20210622-D00000.png
US-10853592-B2,Digital identity system ,Yoti Holding Limited,"Francisco Angel Garcia RODRIGUEZ, Piers Powlesland, Paolo Greci, Laurence Withers, Eleanor Simone Frederika LOUGHLIN-MCHUGH, Roman Edward SZCZESNIAK",2015-02-13,2017-11-09,2020-12-01,2020-12-01,https://patents.google.com/patent/US10853592B2/en,https://patentimages.storage.googleapis.com/1a/ae/e6/60e522b58bf236/US10853592-20201201-D00000.png
US-7996512-B2,Digital identity registration ,"The Go Daddy Group, Inc.","Warren Adelman, Michael Chadwick",2004-10-29,2010-05-17,2011-08-09,2011-08-09,https://patents.google.com/patent/US7996512B2/en,https://patentimages.storage.googleapis.com/b8/fc/4d/bcec4dcc9bbe5f/US07996512-20110809-D00000.png
US-2020259656-A1,Blockchain-based digital identity management (dim) system ,"Workday, Inc.","Prakash Sundaresan, Lionello G. Lunesu, Antoine Cote",2016-07-29,2020-02-28,2020-08-13,,https://patents.google.com/patent/US20200259656A1/en,https://patentimages.storage.googleapis.com/3d/cb/b4/f62f04fc4bbcdf/US20200259656A1-20200813-D00000.png
US-8904040-B2,Digital identity validation ,"Go Daddy Operating Company, LLC","Warren Adelman, Michael Chadwick",2004-10-29,2007-05-09,2014-12-02,2014-12-02,https://patents.google.com/patent/US8904040B2/en,https://patentimages.storage.googleapis.com/6a/72/06/3b6da207d220fb/US08904040-20141202-D00000.png
US-8104074-B2,Identity providers in digital identity system ,Microsoft Corporation,"Kim Cameron, Arun K. Nanda",2006-02-24,2006-02-24,2012-01-24,2012-01-24,https://patents.google.com/patent/US8104074B2/en,https://patentimages.storage.googleapis.com/e9/98/63/0450cb7078802e/US08104074-20120124-D00000.png
US-8876606-B2,User-centric method of aggregating information sources to reinforce digital identity ,Microsoft Corporation,"Michal Bortnik, Scott Henson, II Patrick W. O'Kelley, Johan Peter Hansen, Ling Tony Chen, Jerry A. Johnson",2004-12-07,2004-12-07,2014-11-04,2014-11-04,https://patents.google.com/patent/US8876606B2/en,https://patentimages.storage.googleapis.com/48/41/18/0b0bf395ca554e/US08876606-20141104-D00000.png
EP-2108146-B1,Controlling distribution and use of digital identity representations ,"Microsoft Technology Licensing, LLC","John Shewchuk, Kim Cameron, Arun Nanda, Xiao Xie",2007-01-26,2008-01-23,2018-07-25,2018-07-25,https://patents.google.com/patent/EP2108146B1/en,https://patentimages.storage.googleapis.com/a6/5b/38/945857de7bdf5f/imgf0001.png
US-8087072-B2,Provisioning of digital identity representations ,Microsoft Corporation,"Vijay K. Gajjala, Colin H. Brace, Derek T. Del Conte, Kim Cameron, Arun K. Nanda, Hervey O. Wilson, Stuart L. S. Kwan, Rashmi Raj, Vijayavani Nori",2007-01-18,2007-09-17,2011-12-27,2011-12-27,https://patents.google.com/patent/US8087072B2/en,https://patentimages.storage.googleapis.com/1b/45/c0/cc2e4f7a6b7c88/US08087072-20111227-D00000.png
US-9213992-B2,Secure online transactions using a trusted digital identity ,"Microsoft Technology Licensing, Llc",David J. Steeves,2005-07-08,2005-07-08,2015-12-15,2015-12-15,https://patents.google.com/patent/US9213992B2/en,https://patentimages.storage.googleapis.com/c7/ae/77/c23e97319cedb7/US09213992-20151215-D00000.png
US-8407767-B2,Provisioning of digital identity representations ,Microsoft Corporation,"Vijay K. Gajjala, Colin H. Brace, Derek T. Del Conte, Arun K. Nanda, Stuart L. S. Kwan, Rashmi Raj, Vijayavani Nori",2007-01-18,2007-09-17,2013-03-26,2013-03-26,https://patents.google.com/patent/US8407767B2/en,https://patentimages.storage.googleapis.com/52/c5/0c/b04620f332d4d7/US08407767-20130326-D00000.png
US-7870219-B2,System method and apparatus for portable digital identity ,"Tvworks, Llc","Jonathan I McCormack, Venkatachary Srinivasan, Hari Vasudev, Raymond Drewry",2001-10-12,2009-03-09,2011-01-11,2011-01-11,https://patents.google.com/patent/US7870219B2/en,https://patentimages.storage.googleapis.com/8c/e6/cc/081789c1dce91b/US07870219-20110111-D00000.png
US-2019121813-A1,System and Method of Sovereign Digital Identity Search and Bidirectional Matching ,Social Patent LLC,"Timothy S. Galebach, Jared Bowie, Michael Chin, Stephen H. Galebach",2017-10-20,2018-10-19,2019-04-25,,https://patents.google.com/patent/US20190121813A1/en,https://patentimages.storage.googleapis.com/65/9b/44/2230708ee2b78e/US20190121813A1-20190425-D00000.png
US-8635445-B2,Method for digital identity authentication ,"Blackridge Technology Holdings, Inc.",John W. Hayes,2010-02-01,2012-08-16,2014-01-21,2014-01-21,https://patents.google.com/patent/US8635445B2/en,https://patentimages.storage.googleapis.com/3b/28/f2/e32d1a50461ce9/US08635445-20140121-D00000.png
US-8881253-B2,Method and apparatus for accepting a digital identity of a user based on transitive trust among parties ,Symantec Corporation,"Sourabh Satish, Brian Hernacki",2007-03-28,2007-03-28,2014-11-04,2014-11-04,https://patents.google.com/patent/US8881253B2/en,https://patentimages.storage.googleapis.com/0d/f3/4b/05fc8c32fdc4b2/US08881253-20141104-D00000.png
CN-109981675-B,Identity information protection method for digital identity authentication and attribute encryption ,西安电子科技大学,"翁启, 王子龙",2019-04-04,2019-04-04,2021-10-26,2021-10-26,https://patents.google.com/patent/CN109981675B/en,https://patentimages.storage.googleapis.com/c4/d5/16/72b72e39e71ffd/HDA0002018976880000011.png
CN-112580102-A,Multi-dimensional digital identity authentication system based on block chain ,郑州大学,"王飞, 刘炯天, 王忠勇, 陈红杰, 田权奎, 张志鸿, 王振飞, 陈宝辉, 王毅",2020-12-29,2020-12-29,2021-03-30,,https://patents.google.com/patent/CN112580102A/en,https://patentimages.storage.googleapis.com/87/dc/2b/f33cadf5d07e4e/201229162427.png
US-2018034646-A1,Method and apparatus for seamless remote renewal of offline generated digital identity certificates to field deployed hardware security modules ,Arris Enterprises Llc,"Annie C. Kuramoto, Ting Yao, Jason A. Pasion, Jinsong Zheng, Fan Wang, Oscar Jiang, Xin Qiu",2016-07-27,2017-07-27,2018-02-01,,https://patents.google.com/patent/US20180034646A1/en,https://patentimages.storage.googleapis.com/db/31/e4/9ddca420cc9f04/US20180034646A1-20180201-D00000.png
US-11652628-B2,Deterministic verification of digital identity documents ,Green Market Square Limited,"William F. Abt, JR., Robert W. HARRIS, JR., Asher C. Johnson",2016-07-25,2021-02-25,2023-05-16,2023-05-16,https://patents.google.com/patent/US11652628B2/en,https://patentimages.storage.googleapis.com/79/b0/9b/781ba79abbf6b9/US11652628-20230516-D00000.png
EP-3852338-B1,"Method and apparatus for verifying digital identity, device and storage medium ",Beijing Baidu Netcom Science And Technology Co. Ltd.,"Hongbin Mao, Siyuan PAN, Junjie Yuan, Haodong CHEN, Hui Wang",2020-01-14,2021-01-14,2023-09-06,2023-09-06,https://patents.google.com/patent/EP3852338B1/en,
US-11574037-B1,Creating a secure digital identity ,Bullish Global,"Daniel J. Larimer, Richard B. Whitner, Thomas C. Hallgren, Todd B. Fleming",2018-12-11,2020-09-28,2023-02-07,2023-02-07,https://patents.google.com/patent/US11574037B1/en,https://patentimages.storage.googleapis.com/e7/3b/4e/90bf8712e07832/US11574037-20230207-D00000.png
US-9207650-B2,Configurable personal digital identity device responsive to user interaction with user authentication factor captured in mobile device ,"Tyfone, Inc.","Siva G. Narendra, Prabhakar Tadepalli, Saurav Chakraborty",2013-03-15,2013-03-15,2015-12-08,2015-12-08,https://patents.google.com/patent/US9207650B2/en,https://patentimages.storage.googleapis.com/b7/10/8f/4fde783fda938c/US09207650-20151208-D00000.png
CN-107181765-A,Network digital identity identifying method based on block chain technology ,光载无限（北京）科技有限公司,焦继佩,2017-07-25,2017-07-25,2017-09-19,,https://patents.google.com/patent/CN107181765A/en,
EP-3701668-B1,Methods for recording and sharing a digital identity of a user using distributed ledgers ,Thales Dis France SAS,"Laurent Castillo, Yesong WANG, Khaing Phyo AUNG, Vincent LAO",2017-10-26,2018-10-23,2022-09-21,2022-09-21,https://patents.google.com/patent/EP3701668B1/en,https://patentimages.storage.googleapis.com/b1/9b/be/85585f0e90393b/imgf0001.png
US-2016360403-A1,"Procedure for generating a digital identity of a user of a mobile device, digital identity of the user, and authentication procedure using said digital identity of the user ","Ebid,Products & Solutions, S.L.","Masías JORDI, Tarrés XAVIER, Olivet ROGER",2015-01-05,2015-01-05,2016-12-08,,https://patents.google.com/patent/US20160360403A1/en,https://patentimages.storage.googleapis.com/c8/b6/18/fd06583561d700/US20160360403A1-20161208-D00000.png
US-9507948-B2,Digital identity device ,Identity Security Llc,"Aureliano Tan, Jr.",2000-02-03,2013-06-14,2016-11-29,2016-11-29,https://patents.google.com/patent/US9507948B2/en,https://patentimages.storage.googleapis.com/07/60/fb/7a96ecf23df52c/US09507948-20161129-D00000.png
TW-I651656-B,"Multidimensional barcode action identity authentication method, digital certificate device ",楊建綱,楊建綱,2017-03-29,2017-03-29,2019-02-21,2019-02-21,https://patents.google.com/patent/TWI651656B/en,
KR-20180108566-A,SYSTEM AND METHOD FOR MANAGING DIGITAL IDENTITY ,캠브리지 블록체인 엘엘씨,"알렉스 오버하우저, 매튜 커먼즈, 알록 바르가바",2015-10-14,2016-10-14,2018-10-04,,https://patents.google.com/patent/KR20180108566A/en,https://patentimages.storage.googleapis.com/41/23/08/fa54119644b360/pct00007.png
CN-108280878-B,Material culture heritage block chain multi-mode digital identity construction device and method ,"谭佳佳, 高博扬, 鲁晓波","谭佳佳, 高博扬, 鲁晓波",2018-04-12,2018-04-12,2020-05-19,2020-05-19,https://patents.google.com/patent/CN108280878B/en,https://patentimages.storage.googleapis.com/0b/24/b2/744c3dd5e752cb/HDA0001626814320000011.png
CN-108111543-B,Digital identity recognition system on block chain ,上海冲量网络科技有限公司,邓海南,2018-02-06,2018-02-06,2020-08-04,2020-08-04,https://patents.google.com/patent/CN108111543B/en,
US-11069016-B2,National digital identity ,Mastercard International Incorporated,"Stephen Elder, Joseph Mitchell, John Sheldon, Ken Moore, Gregory O'Brien, Sinead FITZGERALD, Derek Humphreys",2017-05-10,2017-11-29,2021-07-20,2021-07-20,https://patents.google.com/patent/US11069016B2/en,https://patentimages.storage.googleapis.com/8d/1d/db/c9aabff11aad6d/US11069016-20210720-D00000.png
US-11558201-B2,Self-authenticating digital identity ,"Banco Bilbao Vizcaya Argentaria, S.A.",Louis Gasparini,2017-03-01,2021-05-06,2023-01-17,2023-01-17,https://patents.google.com/patent/US11558201B2/en,https://patentimages.storage.googleapis.com/0c/7d/3c/1165c16d44c42b/US11558201-20230117-D00000.png
US-9659295-B2,Personal digital identity device with near field and non near field radios for access control ,"Tyfone, Inc.","Siva G. Narendra, Prabhakar Tadepalli, Saurav Chakraborty, Donald Allen Bloodworth",2013-03-15,2016-08-26,2017-05-23,2017-05-23,https://patents.google.com/patent/US9659295B2/en,https://patentimages.storage.googleapis.com/77/58/13/4afb69d686fbf8/US09659295-20170523-D00000.png
US-9852285-B2,Digital identity ,Yoti Holding Limited,"Eleanor Simone Frederika LOUGHLIN-MCHUGH, Roman Edward SZCZESNIAK",2015-02-13,2015-02-13,2017-12-26,2017-12-26,https://patents.google.com/patent/US9852285B2/en,https://patentimages.storage.googleapis.com/b9/78/d1/d67d296e6ff6da/US09852285-20171226-D00000.png
US-10469454-B2,Digital identity ,Deutsche Telekom Ag,"Mohamad Sbeiti, Tobias Wernado",2016-09-20,2017-09-19,2019-11-05,2019-11-05,https://patents.google.com/patent/US10469454B2/en,https://patentimages.storage.googleapis.com/3c/a1/eb/de6e13ed734214/US10469454-20191105-D00000.png
US-2019268159-A1,System and method for a digital identity system ,"Walmart Apollo, Llc","Donald R. High, Bruce Wilkinson, John J. O'Brien, Robert Cantrell, Brian McHale, Joseph JURICH, Jennifer Hedges",2018-02-28,2019-02-28,2019-08-29,,https://patents.google.com/patent/US20190268159A1/en,https://patentimages.storage.googleapis.com/0c/0f/b5/435fd5bc53f3d3/US20190268159A1-20190829-D00000.png
US-11238141-B2,"Digital identity authentication and verification system, method, and device ","The Boogie Badge, Inc.",Robert Andersen,2018-03-05,2019-03-05,2022-02-01,2022-02-01,https://patents.google.com/patent/US11238141B2/en,https://patentimages.storage.googleapis.com/bf/cc/63/848817fce20705/US11238141-20220201-D00000.png
CN-107579998-A,"Personal data center and digital identification authentication method based on block chain, digital identity and intelligent contract ",光载无限（北京）科技有限公司,朱佩江,2017-10-17,2017-10-17,2018-01-12,,https://patents.google.com/patent/CN107579998A/en,
US-2009271428-A1,Tracking digital identity related reputation data ,"The Go Daddy Group, Inc.","Warren Adelman, Michael Chadwick",2007-05-09,2009-06-10,2009-10-29,,https://patents.google.com/patent/US20090271428A1/en,https://patentimages.storage.googleapis.com/89/fc/3e/cafc6620f03391/US20090271428A1-20091029-D00000.png
CN-108768933-B,Autonomous supervision digital identity authentication system on block chain platform ,深圳技术大学,"赵建, 张翌维, 相韶华",2018-04-11,2018-04-11,2020-11-03,2020-11-03,https://patents.google.com/patent/CN108768933B/en,https://patentimages.storage.googleapis.com/8c/1f/6f/75282bb43deb73/HDA0001624669240000011.png
US-2007208940-A1,Digital identity related reputation tracking and publishing ,"The Go Daddy Group, Inc.","Warren Adelman, Michael Chadwick",2004-10-29,2007-05-09,2007-09-06,,https://patents.google.com/patent/US20070208940A1/en,https://patentimages.storage.googleapis.com/a2/ab/40/16e8f9f88d1371/US20070208940A1-20070906-D00000.png
US-9576281-B2,Configurable personal digital identity card with motion sensor responsive to user interaction ,"Tyfone, Inc.","Siva G. Narendra, Prabhakar Tadepalli, Saurav Chakraborty, Donald Allen Bloodworth",2013-03-15,2016-08-16,2017-02-21,2017-02-21,https://patents.google.com/patent/US9576281B2/en,https://patentimages.storage.googleapis.com/b6/b1/aa/7728bbdc9506d8/US09576281-20170221-D00000.png
EP-2474936-A1,"Product identity digital identification apparatus, inspection apparatus, product and anti-counterfeiting inspection method ","Shenzhen Joinl Technology Co., Ltd",Kaisheng Li,2009-03-04,2010-02-10,2012-07-11,,https://patents.google.com/patent/EP2474936A1/en,https://patentimages.storage.googleapis.com/1c/7e/44/7211cade59b422/imgf0001.png
AU-2023901254-A0,"Decentralized, Self-Sovereign Digital Identity and Universal Passport System Based on Biometrics and Blockchain Technology ",Awaken Mobile Pty Ltd,Nikola Siljeg,,2023-04-28,2023-05-11,,https://patents.google.com/patent/AU2023901254A0/en,
CN-113271211-B,"Digital identity verification system, method, electronic device and storage medium ",网易（杭州）网络有限公司,王挺,2021-05-18,2021-05-18,2023-03-24,2023-03-24,https://patents.google.com/patent/CN113271211B/en,https://patentimages.storage.googleapis.com/40/7c/d8/c2ef2ebae0a70f/HDA0003072194710000011.png
