search URL:,https://patents.google.com/?q=%22digital+identity%22&before=priority:19991231&after=priority:19000101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8392420-B2,Managing access to digital identity information ,Emc Corporation,"Joseph Andrew Mellmer, Russell T. Young, Arn D. Perkins, John M. Robertson, Jeffrey Neil Sabin, Michael C. McDonald, Douglas Phillips, Robert Michael Sheridan, Nadeem Ahmad Nazeer, DeeAnne Barker Higley, Stephen R. Carter, Douglas G. Earl, Kelly E. Sonderegger, Daniel T. Ferguson, Farrell Lynn Brough",1999-11-12,2011-04-29,2013-03-05,2013-03-05,https://patents.google.com/patent/US8392420B2/en,https://patentimages.storage.googleapis.com/49/80/d1/b7c7fa44a311db/US08392420-20130305-D00000.png
EP-1147478-B1,Validation method for electronic cash cards and digital identity cards utilizing an optical data storage ,LaserCard Corporation,Jerome Drexler,1999-01-25,1999-11-29,2005-09-14,2005-09-14,https://patents.google.com/patent/EP1147478B1/en,https://patentimages.storage.googleapis.com/7b/95/31/4442736f8f9e4a/00190001.png
CN-1624680-A,Digital identity card rechecking apparatus ,李玉彬,李玉彬,1999-03-06,2000-01-13,2005-06-08,,https://patents.google.com/patent/CN1624680A/en,
AU-6759998-A,Cryptographic digital identity method ,"Skylight Software, Inc.","Basit Hussain, Shabbir A. Khan, Saeed A. Rajput",1997-03-06,1998-03-05,1998-09-22,,https://patents.google.com/patent/AU6759998A/en,
JP-5295179-B2,System and method for electronically exchanging value between distributed users ,ペイパル，  インコーポレイテッド,"レブチン マックス, ノセック リューク, ジエル ピーター, アラン  バニスター スコット",1999-04-30,2010-06-09,2013-09-18,2013-09-18,https://patents.google.com/patent/JP5295179B2/en,https://patentimages.storage.googleapis.com/ec/43/55/c3b0d467e086eb/0005295179-2.png
US-8123618-B2,Systems for distributing entertaining episodes and crediting payouts to authorized remote-player's wagers ,Karmarkar Jayant S,Jayant S. Karmarkar,1999-06-18,2007-08-02,2012-02-28,2012-02-28,https://patents.google.com/patent/US8123618B2/en,https://patentimages.storage.googleapis.com/99/b4/92/f04c5502dff8ba/US08123618-20120228-D00000.png
US-9679278-B2,Automated banking machine that operates responsive to data bearing records ,Diebold Self-Service Systems,"Jay Paul Drummond, Mark D. Smith, Michael A. Meffie, Daniel D. Wasil",1996-11-27,2013-12-17,2017-06-13,2017-06-13,https://patents.google.com/patent/US9679278B2/en,https://patentimages.storage.googleapis.com/25/2c/0e/9428c2f912eeb6/US09679278-20170613-D00000.png
US-8020760-B2,Method of authorizing automated banking machine use responsive to user data read from data bearing records ,"Diebold, Incorporated","Jay Paul Drummond, Bob A. Cichon, Mark D. Smith, David W. Weis",1996-11-27,2010-11-22,2011-09-20,2011-09-20,https://patents.google.com/patent/US8020760B2/en,https://patentimages.storage.googleapis.com/39/ef/d1/580894590abd46/US08020760-20110920-D00000.png
US-7606767-B1,Cash dispensing automated banking machine system and communication method ,"Diebold, Incorporated","Denise Couper, Charles H. Somers, Jr., Jay Paul Drummond, Mark D. Smith, Harold V. Putman",1996-11-27,2005-05-23,2009-10-20,2009-10-20,https://patents.google.com/patent/US7606767B1/en,https://patentimages.storage.googleapis.com/c9/ca/dc/4335204284ef77/US07606767-20091020-D00000.png
US-7405724-B2,Automated banking machine and method ,"Diebold, Incorporated","Jay Paul Drummond, Dale Blackson, Bob Cichon, Joseph C. Ess, Mark A. Moales, David W. Weis, Mark D. Smith, James Church",1996-11-27,2005-05-06,2008-07-29,2008-07-29,https://patents.google.com/patent/US7405724B2/en,https://patentimages.storage.googleapis.com/c8/95/67/e2160a8b049046/US07405724-20080729-D00000.png
US-7737950-B2,Automated banking machine and system ,"Diebold, Incorporated","Jay Paul Drummond, Dale Blackson, Bob Cichon, Joseph C. Ess, Mark A. Moales, David W. Weis, Mark D. Smith, James Church",1996-11-27,2008-07-28,2010-06-15,2010-06-15,https://patents.google.com/patent/US7737950B2/en,https://patentimages.storage.googleapis.com/d7/26/7b/b43b0d7a441ac2/US07737950-20100615-D00000.png
US-7870498-B2,Method of developing automated banking machine instructions ,"Diebold, Incorporated","Jay Paul Drummond, Bob A. Cichon, David Weis, James R. Church, Mikal R. Gilger, Jagadesh Myana, Todd Blakeslee, Aravind Dongara, Mark A. Moales, Randhika Bodapatla",1996-11-27,2005-01-31,2011-01-11,2011-01-11,https://patents.google.com/patent/US7870498B2/en,https://patentimages.storage.googleapis.com/58/23/56/05dc36758fe7ea/US07870498-20110111-D00000.png
US-7277202-B2,Method for matching printing ink colors ,Flint Group Incorporated,Domingo Q Chan,1999-10-11,2006-05-04,2007-10-02,2007-10-02,https://patents.google.com/patent/US7277202B2/en,https://patentimages.storage.googleapis.com/95/6a/d3/7b714404b2b723/US07277202-20071002-D00000.png
US-7844512-B2,Server software adapted to convert messages to enable ATM and ATM host communication ,"Diebold, Incorporated","Bruce G. Richards, Jay Paul Drummond, Dale Blackson, Bob A. Cichon, Joseph C. Ess, Mark A. Moales, David W. Weis, Mark D. Smith, James Church",1996-11-27,2005-04-04,2010-11-30,2010-11-30,https://patents.google.com/patent/US7844512B2/en,https://patentimages.storage.googleapis.com/11/7f/9c/32d8b9118cd5fa/US07844512-20101130-D00000.png
US-2005114666-A1,Blocked tree authorization and status systems ,Sudia Frank W.,Frank Sudia,1999-08-06,2004-09-24,2005-05-26,,https://patents.google.com/patent/US20050114666A1/en,https://patentimages.storage.googleapis.com/a0/e7/bf/67af5ec9fda6d0/US20050114666A1-20050526-D00000.png
US-7333954-B2,Automated banking machine and system ,"Diebold, Incorporated","Jay Paul Drummond, Dale Blackson, Bob A. Cichon, Joseph C. Ess, Mark A. Moales, David W. Weis, Mark D. Smith, James Church",1996-11-27,2005-11-08,2008-02-19,2008-02-19,https://patents.google.com/patent/US7333954B2/en,https://patentimages.storage.googleapis.com/04/b2/dd/0e58bc05409c15/US07333954-20080219-D00000.png
US-6983256-B2,Cash dispensing automated banking machine system and method ,"Diebold, Incorporated","Jay Paul Drummond, Dale Blackson, Lilei Chen, Bob A. Cichon, Mark S. Covert, Bradrick Q. Lepper, Mark A. Moales, Mark D. Smith, Robert J. Lemley, Michael E. Califf, Jr., Shawn D. Joyce, Phillip S. Moore, Steven C. Swingler",1996-11-27,2004-11-02,2006-01-03,2006-01-03,https://patents.google.com/patent/US6983256B2/en,https://patentimages.storage.googleapis.com/ad/15/96/1ef6d5e8a09108/US06983256-20060103-D00000.png
US-8342396-B2,Banking system controlled responsive to data bearing records ,"Diebold, Incorporated","Denise Couper, Charles H. Somers, Jr., Jay Paul Drummond, Mark D. Smith, Harold V. Putman",1996-11-27,2011-08-01,2013-01-01,2013-01-01,https://patents.google.com/patent/US8342396B2/en,https://patentimages.storage.googleapis.com/80/b4/b4/6de79460510f93/US08342396-20130101-D00000.png
US-2006182241-A1,System providing direct internet access in public or semi-public places ,"Schelberg Charles C Jr, Duff Thomas M Jr","Charles Schelberg, Thomas Duff",1997-02-06,2006-03-24,2006-08-17,,https://patents.google.com/patent/US20060182241A1/en,https://patentimages.storage.googleapis.com/0d/e3/af/4b9b25de447beb/US20060182241A1-20060817-D00000.png
